unix_ms,rel_timestamp,frame,obj_name,guid,pos_x,pos_y,pos_z,forward_x,forward_y,forward_z
1742844905014,3.656917,263,HighMale2,29686,24.07,0.02500001,-3.4,0.08221102,0,0.9966149
1742844905014,3.656917,263,CenterEyeAnchor,27386,0.02120336,1.708971,0.08191365,-0.09899133,-0.04523177,0.9940597
1742844905014,3.656917,263,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742844905014,3.656917,263,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742844905014,3.656917,263,LowMale2,28708,-26.46,0.02500001,13.55,0,0,1
1742844905227,3.656917,264,HighMale2,29686,24.07145,0.02500001,-3.399656,0.1622798,0,0.9867448
1742844905227,3.656917,264,CenterEyeAnchor,27386,0.01105051,1.69909,0.08532809,-0.1793529,-0.1245217,0.9758723
1742844905227,3.656917,264,LowFemale2,33854,17.21,0.02500001,11.37,0,0,1
1742844905227,3.656917,264,HighFemale2,33816,-16.42,0.02500001,-2.43,0,0,1
1742844905227,3.656917,264,LowMale2,28708,-26.46,0.02500001,13.55,-0.09112472,0,0.9958395
1742844905227,3.656917,264,Sedan1-Detailed,26854,70,0,6.25,-1,0,-1.192093E-07
1742844905241,3.676917,265,HighMale2,29686,24.07677,0.02500001,-3.396225,0.2754914,0,0.9613035
1742844905241,3.676917,265,CenterEyeAnchor,27386,0.01103861,1.698822,0.08553297,-0.1804069,-0.1268109,0.9753832
1742844905241,3.676917,265,LowFemale2,33854,17.21,0.02500001,11.37,0.1338508,0,0.9910015
1742844905241,3.676917,265,HighFemale2,33816,-16.42,0.02500001,-2.43,-0.1198606,0,0.9927907
1742844905241,3.676917,265,LowMale2,28708,-26.4564,0.02500001,13.54995,-0.2222785,0,0.9749832
1742844905241,3.676917,265,Sedan1-Detailed,26854,70,0,6.25,-1,0,-1.192093E-07
1742844905293,3.728864,266,HighMale2,29686,24.10972,0.02500001,-3.38464,0.5243923,0,0.8514768
1742844905293,3.728864,266,CenterEyeAnchor,27386,0.009481611,1.696752,0.08699834,-0.1960043,-0.1424102,0.970207
1742844905293,3.728864,266,LowFemale2,33854,17.1991,0.02500001,11.37821,0.4588517,0,0.8885129
1742844905293,3.728864,266,HighFemale2,33816,-16.40261,0.02500001,-2.412447,-0.4077731,0,0.9130833
1742844905293,3.728864,266,LowMale2,28708,-26.45297,0.02500001,13.54995,-0.5241134,0,0.8516485
1742844905293,3.728864,266,Sedan1-Detailed,26854,69.98222,0,6.25,-1,0,-1.192093E-07
1742844905344,3.759635,267,HighMale2,29686,24.14692,0.02500001,-3.39357,0.6285381,0,0.7777787
1742844905344,3.759635,267,CenterEyeAnchor,27386,0.005742277,1.692175,0.08864581,-0.2270884,-0.1686389,0.9591621
1742844905344,3.759635,267,LowFemale2,33854,17.22116,0.02500001,11.37829,0.6014488,0,0.7989114
1742844905344,3.759635,267,HighFemale2,33816,-16.40986,0.02500001,-2.396902,-0.533849,0,0.8455799
1742844905344,3.759635,267,LowMale2,28708,-26.478,0.02500001,13.54619,-0.6525873,0,0.7577135
1742844905345,3.759635,267,Sedan1-Detailed,26854,69.96267,0,6.25,-1,0,-1.192093E-07
1742844905393,3.827874,268,HighMale2,29686,24.19567,0.02500001,-3.390031,0.7907301,0,0.612165
1742844905393,3.827874,268,CenterEyeAnchor,27386,0.002859746,1.684488,0.08827394,-0.2621227,-0.2258382,0.9382371
1742844905394,3.827874,268,LowFemale2,33854,17.28582,0.02500001,11.3597,0.8198726,0,0.5725461
1742844905394,3.827874,268,HighFemale2,33816,-16.46638,0.02500001,-2.396186,-0.735129,0,0.6779273
1742844905394,3.827874,268,LowMale2,28708,-26.52151,0.02500001,13.54197,-0.8453985,0,0.5341361
1742844905394,3.827874,268,Sedan1-Detailed,26854,69.86134,0,6.25,-1,0,-1.192093E-07
1742844905448,3.858531,269,HighMale2,29686,24.22467,0.02500001,-3.386399,0.8325493,0,0.553951
1742844905448,3.858531,269,CenterEyeAnchor,27386,0.001560823,1.687067,0.09021118,-0.2756703,-0.2446998,0.9295848
1742844905448,3.858531,269,LowFemale2,33854,17.31688,0.02500001,11.3502,0.8734509,0,0.4869123
1742844905448,3.858531,269,HighFemale2,33816,-16.49251,0.02500001,-2.389693,-0.7882157,0,0.6153991
1742844905448,3.858531,269,LowMale2,28708,-26.5468,0.02500001,13.54273,-0.8917679,0,0.4524931
1742844905448,3.858531,269,Sedan1-Detailed,26854,69.81335,0,6.25,-1,0,-1.192093E-07
1742844905494,3.896537,270,HighMale2,29686,24.27349,0.02500001,-3.374348,0.8710741,0,0.4911516
1742844905494,3.896537,270,CenterEyeAnchor,27386,0.001180805,1.68952,0.09083952,-0.2756764,-0.2239773,0.9347923
1742844905494,3.896537,270,LowFemale2,33854,17.36711,0.02500001,11.34283,0.9196052,0,0.392844
1742844905494,3.896537,270,HighFemale2,33816,-16.53149,0.02500001,-2.374916,-0.837436,0,0.5465353
1742844905494,3.896537,270,LowMale2,28708,-26.58437,0.02500001,13.54949,-0.9314836,0,0.3637834
1742844905494,3.896537,270,Sedan1-Detailed,26854,69.72803,0,6.25,-1,0,-1.192093E-07
1742844905528,3.941962,271,HighMale2,29686,24.33052,0.02500001,-3.359774,0.9030503,0,0.4295347
1742844905528,3.941962,271,CenterEyeAnchor,27386,0.001458868,1.688886,0.0899265,-0.2673434,-0.2132979,0.9396976
1742844905528,3.941962,271,LowFemale2,33854,17.41111,0.02500001,11.34111,0.954095,0,0.2995042
1742844905528,3.941962,271,HighFemale2,33816,-16.57515,0.02500001,-2.360902,-0.8784475,0,0.4778389
1742844905528,3.941962,271,LowMale2,28708,-26.62207,0.02500001,13.55,-0.9610031,0,0.2765377
1742844905528,3.941962,271,Sedan1-Detailed,26854,69.62674,0,6.25,-1,0,-1.192093E-07
1742844905559,3.97673,272,HighMale2,29686,24.38654,0.02500001,-3.34644,0.9197071,0,0.3926052
1742844905559,3.97673,272,CenterEyeAnchor,27386,0.001144763,1.689072,0.09026559,-0.2602142,-0.2083143,0.9428116
1742844905560,3.97673,272,LowFemale2,33854,17.46757,0.02500001,11.33881,0.9699539,0,0.2432891
1742844905560,3.97673,272,HighFemale2,33816,-16.62461,0.02500001,-2.350095,-0.8998138,0,0.4362742
1742844905560,3.97673,272,LowMale2,28708,-26.67221,0.02500001,13.55,-0.9745253,0,0.2242777
1742844905560,3.97673,272,Sedan1-Detailed,26854,69.50951,0,6.25,-1,0,-1.192093E-07
1742844905589,4.016986,273,HighMale2,29686,24.42779,0.02500001,-3.336091,0.9338431,0,0.3576828
1742844905589,4.016986,273,CenterEyeAnchor,27386,0.001466037,1.689331,0.0901449,-0.2564176,-0.2058482,0.9443921
1742844905589,4.016986,273,LowFemale2,33854,17.53191,0.02500001,11.33781,0.9817592,0,0.1901286
1742844905590,4.016986,273,HighFemale2,33816,-16.66234,0.02500001,-2.342291,-0.9179131,0,0.3967815
1742844905590,4.016986,273,LowMale2,28708,-26.71541,0.02500001,13.54672,-0.9845657,0,0.1750156
1742844905591,4.016986,273,Sedan1-Detailed,26854,69.37636,0,6.25,-1,0,-1.192093E-07
1742844905618,4.044467,274,HighMale2,29686,24.45599,0.02500001,-3.326516,0.9409188,0,0.3386323
1742844905619,4.044467,274,CenterEyeAnchor,27386,0.001382819,1.68968,0.08999284,-0.2544002,-0.2052141,0.9450755
1742844905619,4.044467,274,LowFemale2,33854,17.56127,0.02500001,11.33691,0.986922,0,0.1611989
1742844905619,4.044467,274,HighFemale2,33816,-16.69088,0.02500001,-2.3351,-0.9269491,0,0.3751872
1742844905619,4.044467,274,LowMale2,28708,-26.74499,0.02500001,13.54593,-0.9889489,0,0.148257
1742844905619,4.044467,274,Sedan1-Detailed,26854,69.27879,0,6.25,-1,0,-1.192093E-07
1742844905647,4.0727,275,HighMale2,29686,24.48221,0.02500001,-3.314664,0.9467677,0,0.3219178
1742844905647,4.0727,275,CenterEyeAnchor,27386,0.001014342,1.690307,0.08986317,-0.2561837,-0.2023584,0.9452095
1742844905648,4.0727,275,LowFemale2,33854,17.5891,0.02500001,11.33818,0.9907176,0,0.1359361
1742844905648,4.0727,275,HighFemale2,33816,-16.71815,0.02500001,-2.325377,-0.9344011,0,0.3562226
1742844905648,4.0727,275,LowMale2,28708,-26.77525,0.02500001,13.54693,-0.9921679,0,0.1249124
1742844905648,4.0727,275,Sedan1-Detailed,26854,69.17421,0,6.25,-1,0,-1.192093E-07
1742844905681,4.096686,276,HighMale2,29686,24.5051,0.02500001,-3.304162,0.9508008,0,0.3098029
1742844905681,4.096686,276,CenterEyeAnchor,27386,-0.0006938037,1.69118,0.08943917,-0.2634613,-0.1953494,0.9446834
1742844905681,4.096686,276,LowFemale2,33854,17.61193,0.02500001,11.34169,0.993048,0,0.1177108
1742844905681,4.096686,276,HighFemale2,33816,-16.74199,0.02500001,-2.316708,-0.9395284,0,0.3424709
1742844905681,4.096686,276,LowMale2,28708,-26.80004,0.02500001,13.54984,-0.9941423,0,0.1080806
1742844905681,4.096686,276,Sedan1-Detailed,26854,69.06264,0,6.25,-1,0,-1.192093E-07
1742844905711,4.129845,277,HighMale2,29686,24.53305,0.02500001,-3.292192,0.9553936,0,0.2953353
1742844905711,4.129845,277,CenterEyeAnchor,27386,-0.001759533,1.691039,0.08910419,-0.2716442,-0.1935607,0.942732
1742844905711,4.129845,277,LowFemale2,33854,17.63902,0.02500001,11.34732,0.9953755,0,0.09606075
1742844905712,4.129845,277,HighFemale2,33816,-16.77082,0.02500001,-2.306363,-0.9453538,0,0.3260463
1742844905712,4.129845,277,LowMale2,28708,-26.82727,0.02500001,13.55006,-0.9961106,0,0.08811337
1742844905712,4.129845,277,Sedan1-Detailed,26854,68.94414,0,6.25,-1,0,-1.192093E-07
1742844905742,4.161317,278,HighMale2,29686,24.56274,0.02500001,-3.280028,0.9588186,0,0.2840192
1742844905742,4.161317,278,CenterEyeAnchor,27386,-0.002928348,1.690338,0.08868211,-0.2793021,-0.195371,0.9401173
1742844905742,4.161317,278,LowFemale2,33854,17.66746,0.02500001,11.35269,0.9968563,0,0.07922989
1742844905743,4.161317,278,HighFemale2,33816,-16.80172,0.02500001,-2.295199,-0.9496888,0,0.3131953
