unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name
1742939336922,0,,Activation,,,,,
1742939336922,0,279,,Left,0,0,0,
1742939336922,0,279,,Right,0,0,0,
1742939336922,0,279,,Center,0,0,0,
1742939337198,0.01999998,281,,Left,851.8149,786.2393,49.15909,
1742939337198,0.01999998,281,,Right,850.8094,786.2393,49.15908,
1742939337198,0.01999998,281,,Center,851.3121,786.2393,49.15908,
1742939337251,0.0854373,282,,Left,834.5759,787.1856,49.35736,
1742939337251,0.0854373,282,,Right,833.5744,787.1857,49.35736,
1742939337251,0.0854373,282,,Center,834.0752,787.1857,49.35736,
1742939337312,0.1230347,283,,Left,833.6166,768.2131,49.34207,
1742939337312,0.1230347,283,,Right,832.6149,768.2131,49.34207,
1742939337312,0.1230347,283,,Center,833.1157,768.2131,49.34207,
1742939337359,0.1969492,284,,Left,831.9036,766.5977,49.35633,
1742939337359,0.1969492,284,,Right,830.9021,766.5977,49.35633,
1742939337359,0.1969492,284,,Center,831.4028,766.5977,49.35633,
1742939337422,0.2312825,285,,Left,830.912,769.6439,49.37356,
1742939337422,0.2312825,285,,Right,829.9109,769.6439,49.37356,
1742939337422,0.2312825,285,,Center,830.4116,769.6439,49.37356,
1742939337464,0.2946274,286,Eye Hit,Left,836.1992,752.6124,49.26783,Truck1-Detailed
1742939337464,0.2946274,286,Eye Hit,Right,835.1959,752.6124,49.26783,Truck1-Detailed
1742939337464,0.2946274,286,Eye Hit,Center,835.6975,752.6124,49.26783,Truck1-Detailed
1742939337491,0.3381922,287,,Left,837.6969,691.6359,48.85782,
1742939337491,0.3381922,287,,Right,836.6852,691.6359,48.85782,
1742939337491,0.3381922,287,,Center,837.191,691.6359,48.85783,
1742939337518,0.3647878,288,Eye Hit,Left,781.4313,589.3078,47.92659,NorthSidewalk
1742939337518,0.3647878,288,Eye Hit,Right,780.3999,589.3078,47.92659,NorthSidewalk
1742939337518,0.3647878,288,Eye Hit,Center,780.9156,589.3078,47.92659,NorthSidewalk
1742939337560,0.4025466,289,Eye Hit,Left,731.976,495.623,46.16737,RoadCrosswalk
1742939337560,0.4025466,289,Eye Hit,Right,730.9054,495.623,46.16737,RoadCrosswalk
1742939337560,0.4025466,289,Eye Hit,Center,731.4407,495.623,46.16738,RoadCrosswalk
1742939337602,0.432781,290,Eye Hit,Left,722.3602,479.665,45.8026,RoadCrosswalk
1742939337602,0.432781,290,Eye Hit,Right,721.2811,479.665,45.8026,RoadCrosswalk
1742939337602,0.432781,290,Eye Hit,Center,721.8207,479.665,45.8026,RoadCrosswalk
1742939337644,0.4764106,291,Eye Hit,Left,722.3195,478.7119,45.78038,RoadCrosswalk
1742939337644,0.4764106,291,Eye Hit,Right,721.2397,478.7119,45.78038,RoadCrosswalk
1742939337644,0.4764106,291,Eye Hit,Center,721.7795,478.7119,45.78038,RoadCrosswalk
1742939337674,0.5172703,292,Eye Hit,Left,713.7666,479.9302,45.80738,RoadCrosswalk
1742939337674,0.5172703,292,Eye Hit,Right,712.6875,479.9302,45.80737,RoadCrosswalk
1742939337674,0.5172703,292,Eye Hit,Center,713.2271,479.9302,45.80738,RoadCrosswalk
1742939337715,0.5464599,293,Eye Hit,Left,713.8179,479.1264,45.78868,RoadCrosswalk
1742939337715,0.5464599,293,Eye Hit,Right,712.7384,479.1264,45.78868,RoadCrosswalk
1742939337716,0.5464599,293,Eye Hit,Center,713.2782,479.1264,45.78868,RoadCrosswalk
1742939337746,0.589515,294,Eye Hit,Left,683.2591,440.1781,44.79797,RoadCrosswalk
1742939337746,0.589515,294,Eye Hit,Right,682.1557,440.1781,44.79796,RoadCrosswalk
1742939337746,0.589515,294,Eye Hit,Center,682.7074,440.1781,44.79797,RoadCrosswalk
1742939337786,0.6183426,295,Eye Hit,Left,685.2904,446.6208,44.96209,RoadCrosswalk
1742939337786,0.6183426,295,Eye Hit,Right,684.191,446.6208,44.96209,RoadCrosswalk
1742939337786,0.6183426,295,Eye Hit,Center,684.7407,446.6208,44.96209,RoadCrosswalk
1742939337829,0.6588833,296,Eye Hit,Left,710.5266,461.2191,45.35917,RoadCrosswalk
1742939337829,0.6588833,296,Eye Hit,Right,709.4369,461.2191,45.35917,RoadCrosswalk
1742939337829,0.6588833,296,Eye Hit,Center,709.9817,461.2191,45.35917,RoadCrosswalk
1742939337873,0.7032411,297,Eye Hit,Left,834.1409,613.0876,47.92166,NorthSidewalk
1742939337873,0.7032411,297,Eye Hit,Right,833.1095,613.0876,47.92166,NorthSidewalk
1742939337873,0.7032411,297,Eye Hit,Center,833.6252,613.0876,47.92166,NorthSidewalk
