unix_ms,rel_timestamp,frame,event,side,screen_pos_x,screen_pos_y,screen_pos_z,target_name,local_direction_x,local_direction_y,local_direction_z,angular_diff
1743003361164,0,267,,Center,0,0,0,,-7.304066E-11,1.192038E-07,1.228875E-09,0
1743003361486,0.01999998,269,Eye Hit,Center,678.1472,718.0283,49.63079,Truck1-Detailed,-2.905287,-5.135088,49.63079,6.779399
1743003361538,0.06884599,270,Eye Hit,Center,672.0111,718.3657,49.60748,Truck1-Detailed,-3.329668,-5.109132,49.60748,7.008323
1743003361589,0.1204891,271,,Center,700.7546,691.2118,49.47426,,-1.331743,-6.974455,49.47425,8.167194
1743003361630,0.1872535,272,,Center,701.9163,696.3762,49.52515,,-1.252639,-6.623856,49.52515,7.751321
1743003361690,0.219327,273,,Center,704.5981,693.3144,49.50149,,-1.066369,-6.832819,49.50149,7.952927
1743003361725,0.2719681,274,Eye Hit,Center,715.7465,672.2671,49.29485,NorthSidewalk,-0.2932649,-8.25541,49.29485,9.513019
1743003361756,0.3080873,275,Eye Hit,Center,718.5686,716.0101,49.70191,Truck1-Detailed,-0.09950767,-5.282716,49.7019,6.06818
1743003361786,0.345643,276,Eye Hit,Center,717.4473,719.4949,49.72657,Truck1-Detailed,-0.1775435,-5.043026,49.72657,5.794372
1743003361818,0.3729749,277,Eye Hit,Center,717.1941,726.3697,49.77229,Truck1-Detailed,-0.1953325,-4.568926,49.77229,5.249678
1743003361848,0.401042,278,Eye Hit,Center,715.4144,727.946,49.78156,Truck1-Detailed,-0.3192852,-4.460155,49.78156,5.132746
1743003361878,0.4318414,279,Eye Hit,Center,713.5455,728.4529,49.78371,Truck1-Detailed,-0.4494341,-4.424978,49.78371,5.105264
1743003361908,0.4607301,280,Eye Hit,Center,711.9584,725.0297,49.76106,Truck1-Detailed,-0.559689,-4.661219,49.76106,5.389652
1743003361938,0.4900851,281,Eye Hit,Center,708.9607,724.6758,49.75599,Truck1-Detailed,-0.7682457,-4.685306,49.75599,5.450824
1743003361968,0.5210953,282,Eye Hit,Center,709.0864,723.6605,49.7495,Truck1-Detailed,-0.7593991,-4.75533,49.7495,5.528822
1743003361998,0.5513725,283,Eye Hit,Center,708.9567,720.4405,49.72757,Truck1-Detailed,-0.7680851,-4.977249,49.72757,5.782928
1743003362031,0.582458,284,Eye Hit,Center,709.5955,719.9352,49.72453,Truck1-Detailed,-0.7236115,-5.012184,49.72453,5.815139
1743003362061,0.6144037,285,Eye Hit,Center,709.9616,718.3408,49.71357,Truck1-Detailed,-0.6979953,-5.121917,49.71357,5.936335
1743003362091,0.6435919,286,Eye Hit,Center,710.3299,711.7207,49.66496,Truck1-Detailed,-0.6717319,-5.576648,49.66496,6.452574
1743003362123,0.6741376,287,Eye Hit,Center,704.8876,710.9063,49.65218,Truck1-Detailed,-1.049509,-5.631926,49.65218,6.581685
1743003362155,0.7053795,288,Eye Hit,Center,704.4979,713.5156,49.67145,Truck1-Detailed,-1.076987,-5.452675,49.67145,6.384572
1743003362193,0.7380738,289,Eye Hit,Center,703.8635,709.7188,49.64136,Truck1-Detailed,-1.120382,-5.713039,49.64136,6.688971
1743003362237,0.7757607,290,,Center,669.8054,687.4063,49.33658,,-3.463688,-7.217721,49.33658,9.216994
1743003362268,0.8193903,291,,Center,669.2681,679.5527,49.25427,,-3.494925,-7.74672,49.25427,9.789725
